Winkel Volumen Druck Temperatur 
220 454.93848457353687 1.088759781086738 300.0
221 453.00206884110924 1.0951243044024392 300.4693042810783
222 451.0178404944635 1.1017127466025822 300.9529494041096
223 448.98587198529134 1.1085307921657896 301.4511501487277
224 446.90624617582426 1.1155843906880938 301.96413377873836
225 444.7790569342612 1.1228797202414988 302.4921275579473
226 442.60440973883345 1.1304232842027255 303.03538227148033
227 440.3824222897506 1.1382216935807115 303.5941110349486
228 438.11322512821346 1.1462818385521787 304.1685330936473
229 435.7969622616277 1.154611097325773 304.7589260458186
230 433.43379179410044 1.1632171308317758 305.3655674897047
231 431.02388656124845 1.1721078945786705 305.9887350235478
232 428.5674347682892 1.181291651094135 306.6287062455901
233 426.06464063034184 1.190776982981427 307.28575875407375
234 423.5157250138036 1.2005728220964935 307.9601741161143
235 420.92092607762396 1.2106886472363636 308.6522844767468
236 418.280499913244 1.2211338928280144 309.3623173350931
237 415.59472118192343 1.231918838755965 310.0906187891196
238 412.86388374813043 1.243054167954633 310.8375349367927
239 410.0883013076264 1.2545509844599005 311.60341187607867
240 407.2683080088377 1.2664208323802555 312.388595704944
241 404.40425906606464 1.2786757158384883 313.193432521355
242 401.49653136305034 1.291328119937972 314.0182684232781
243 398.545524045394 1.3043912645969902 314.8635054589283
244 395.5516591002702 1.317878497283369 315.7294484844023
245 392.5153819218948 1.3318040840640568 316.61649102993465
246 389.4371618611553 1.3461830139722497 317.5250597131962
247 386.3174927578167 1.3610308907537567 318.4555811518577
248 383.15689345369833 1.3763639621488726 319.40848196359
249 379.95590828522757 1.3921991507296878 320.384188766064
250 376.7151075537643 1.4085540863823927 321.3831281769505
251 373.43508797211297 1.4254473058705197 322.405764210527
252 370.116473085649 1.4428979883612192 323.45252924512715
253 366.7599136665037 1.4609260913141553 324.5238471017334
254 363.3660880792923 1.4795528747801183 325.62023999033295
255 359.93570261689155 1.4988005136170648 326.74223012091295
256 356.4694918048208 1.5186921433074656 327.89033970346054
257 352.96821867282785 1.5392519082989078 329.065090947963
258 349.4326749923337 1.5605050130164635 330.2670060644074
259 345.86368147844786 1.582477785267452 331.49660926608084
260 342.26208795533677 1.6051982053132274 332.75452455854554
261 338.6287734837973 1.6286945462722753 334.0411792787848
262 334.96464644996104 1.6529973849587631 335.3572095088467
263 331.2706446141488 1.6781386842948776 336.7032513307795
264 327.5477351189685 1.7041518659287862 338.07994082663134
265 323.7969144558572 1.731071886972237 339.4879140784504
266 320.0192083893523 1.758935321101331 340.92780716828486
267 316.21567183848674 1.7877804442777354 342.4002561781828
268 312.3873887148046 1.8176475816749766 343.90594568560516
269 308.53547171659835 1.848578711385218 345.44551381717343
270 304.66106207908507 1.8806182539879956 347.0196819874569
271 300.7653292803428 1.9138129247174305 348.6292031249844
272 296.8494707029503 1.948211684730142 350.2748301582847
273 292.91471125137963 1.9838658635895061 351.9573160158868
274 288.9623029253086 2.0208292888037316 353.67741362631944
275 284.99352434913646 2.059158816373287 355.4359438506281
276 281.009680258094 2.09891350831655 357.23362609414187
277 277.0121009414553 2.1401562479934593 359.07133053727887
278 273.0021416434657 2.1829530624122997 360.94992853306616
279 268.9811819227082 2.227373290113763 362.8702914345308
280 264.950624970735 2.2734897657285087 364.83329059469986
281 260.9118968908913 2.321379170130479 366.83982187711564
282 256.8664459383544 2.3711220714903343 368.89077808243866
283 252.81574172250458 2.422803237569199 370.98706355898184
284 248.76127437283165 2.476512391230027 373.1296723749479
285 244.70455366965905 2.5323438981079978 375.31959859853947
286 240.64710814105513 2.590397026933473 377.5578362979593
287 236.59048412735632 2.6507762239749293 379.8453795414099
288 232.53624481480887 2.7135916702012155 382.18326014958865
289 228.485969239881 2.7789590892967184 384.5724757284785
290 224.44125126585968 2.8470008264554374 387.0140956266747
291 220.40369853338592 2.917845936778749 389.50922139026227
292 216.3749313866268 2.991630318194274 392.0589545653261
293 212.35658177681404 3.0684970861941605 394.6643966979512
294 208.35029214490353 3.148596965874894 397.32664933422245
295 204.3577142851373 3.2320888669794616 400.0468345262498
296 200.3805081912936 3.3191402897985838 402.82609033180785
297 196.4203408874305 3.4099277347523578 405.6655650769229
298 192.47888524492063 3.504637089460812 408.5664076245738
299 188.55781878757548 3.6034641021996676 411.5297668377392
300 184.6588224866492 3.706614873619528 414.556791579398
301 180.78357954749538 3.814306351947415 417.64862976280443
302 176.93377418962962 3.9267667822321712 420.80642155536077
303 173.1110904219308 4.044236098318018 424.03128677449945
304 169.31721081468064 4.166966383851315 427.32432083256543
305 165.55381527011062 4.295222886152536 430.68664712090015
306 161.82257979308926 4.42928320061141 434.119284108656
307 158.12517526353912 4.569438590783281 437.62323635755297
308 154.46326621213663 4.715994175958453 441.19947052913255
309 150.8385096007949 4.869269986985542 444.8489775166057
310 147.25255360938496 5.029598873402583 448.5725496833277
311 143.70703643010094 5.197328223882994 452.37092738706605
312 140.20358507082258 5.372820045721989 456.24479422513605
313 136.7438141687726 5.5564519637835925 460.19485835268165
314 133.3293248157152 5.748613028949192 464.22151351598046
315 129.96170339588517 5.949705155682529 468.32500645029876
316 126.64252043778255 6.160143466080356 472.5055134978084
317 123.37332948090788 6.380356379701647 476.7632053734405
318 120.15566595846505 6.610779099404485 481.0978418380019
319 116.99104609699309 6.851852398402583 485.5088286828504
320 113.88096583384288 7.104025004058324 489.9955451786986
321 110.82689975335315 7.367748801815326 494.5571710885729
322 107.83030004253091 7.643470936159301 499.19237232049966
323 104.89259546698682 7.931631666994186 503.89944296198206
324 102.01519036782763 8.232662364687151 508.67648012960433
325 99.19946368015324 8.5469754240364 513.5210939404279
326 96.44676797376539 8.874954140382401 518.4302145912774
327 93.75842851664086 9.216951954188492 523.4005222562715
328 91.1357423616824 9.573278964814248 528.4281664410566
329 88.57997745721445 9.944182554037951 533.5082779442787
330 86.09237178165456 10.329848552890766 538.6357010588007
331 83.67413250274423 10.730382575386502 543.8046706086021
332 81.32643516169593 11.145780037439433 549.0080499834871
333 79.05042288256821 11.575929258191955 554.2383462415096
334 76.84720560715456 12.020588511521595 559.4874111223302
335 74.71785935563842 12.479343964144524 564.7453772744831
336 72.66342551323461 12.951615476021953 570.0019194675716
337 70.6849101430177 13.43663212050851 575.2460504948322
338 68.78328332510246 13.93338043665318 580.4648236333092
339 66.95947852232982 14.440613834881505 585.6447111960847
340 65.2143919725788 14.95683203168992 590.7715524186684
341 63.54888210781604 15.480229136644958 595.8292350004051
342 61.96376899996756 16.008708189537675 600.8009669937129
343 60.45983383368911 16.53987289083013 605.6693900687345
344 59.037818406091006 17.070993466724588 610.4155738671434
345 57.69842465346358 17.599030069578415 615.0199413754699
346 56.44231420504 18.1206467599345 619.4624915219712
347 55.27010796381659 18.63221636701289 623.7223984267896
348 54.182385714451364 19.129862302276003 627.7785550265602
349 53.17968575824655 19.609501703909213 631.6097612251931
350 52.26250457521967 20.066889677669394 635.1945894192776
351 51.43129651326064 20.49772312546467 638.5127936670261
